time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-04-12T08:56:31.450Z,19.4050007,-155.2818298,0.44,1.94,ml,17,58,0.007048,0.18,hv,hv70078086,2018-04-12T09:02:19.030Z,"5km WSW of Volcano, Hawaii",earthquake,0.24,0.33,0.24,5,automatic,hv,hv
2018-04-12T08:55:01.560Z,40.164,-119.6322,13.1,0.9,ml,6,275.13,0.265,0.1516,nn,nn00630163,2018-04-12T17:55:00.280Z,"51km SSW of Gerlach-Empire, Nevada",earthquake,,2.2,0.29,4,reviewed,nn,nn
2018-04-12T08:54:38.350Z,19.3983326,-155.2888336,5.95,1.96,ml,29,52,0.009612,0.36,hv,hv70078081,2018-04-12T09:00:22.920Z,"6km SW of Volcano, Hawaii",earthquake,0.55,0.78,0.28,7,automatic,hv,hv
2018-04-12T08:50:28.780Z,19.3981667,-155.2801666,9,1.93,md,33,40,0.006758,0.3,hv,hv70078076,2018-04-12T08:53:38.240Z,"5km SW of Volcano, Hawaii",earthquake,0.5,0.5,0.29,20,automatic,hv,hv
2018-04-12T08:49:31.227Z,63.0994,-149.6325,7.5,2.5,ml,,,,0.83,ak,ak19232488,2018-04-12T09:03:16.176Z,"48km SW of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-04-12T08:47:26.360Z,37.5903333,-118.8311667,1.17,0.46,md,6,188,0.001663,0.08,nc,nc72998661,2018-04-12T17:15:03.881Z,"14km WNW of Toms Place, CA",earthquake,1.42,1.76,0.296,5,reviewed,nc,nc
2018-04-12T08:46:58.640Z,19.4060001,-155.2821655,6.59,2,ml,35,27,0.006115,0.38,hv,hv70078066,2018-04-12T08:52:34.640Z,"5km WSW of Volcano, Hawaii",earthquake,0.51,0.51,0.21,16,automatic,hv,hv
2018-04-12T08:44:40.020Z,39.3426667,-111.9423333,5.47,1.38,md,10,169,0.1812,0.14,uu,uu60277662,2018-04-12T17:28:05.200Z,"23km NNW of Gunnison, Utah",earthquake,0.8,1.04,0.309,7,reviewed,uu,uu
2018-04-12T08:43:00.270Z,19.1728325,-155.4850006,32.14,1.99,md,36,94,0.02772,0.17,hv,hv70078061,2018-04-12T08:46:16.070Z,"3km S of Pahala, Hawaii",earthquake,0.69,1,0.14,5,automatic,hv,hv
2018-04-12T08:37:47.510Z,19.4328327,-155.4075012,-0.17,2.37,ml,50,35,0.06335,0.2,hv,hv70078056,2018-04-12T08:43:39.770Z,"17km W of Volcano, Hawaii",earthquake,0.31,0.42,2.78,21,automatic,hv,hv
2018-04-12T08:33:35.440Z,-26.475,-71.615,21.87,4.1,mwr,,193,0.968,0.73,us,us2000dyq8,2018-04-12T08:54:06.040Z,"156km W of Diego de Almagro, Chile",earthquake,8.3,8.9,0.051,37,reviewed,us,us
2018-04-12T08:31:35.550Z,19.3959999,-155.2831726,4.58,1.79,md,34,42,0.009017,0.26,hv,hv70078041,2018-04-12T08:34:57.800Z,"6km SW of Volcano, Hawaii",earthquake,0.44,0.59,0.3,20,automatic,hv,hv
2018-04-12T08:31:11.990Z,18.426,-67.6953,123,2.92,md,8,162,0.5856,0.36,pr,pr2018102004,2018-04-12T13:42:31.117Z,"48km WNW of Rincon, Puerto Rico",earthquake,3.95,2.48,0.18,8,reviewed,pr,pr
2018-04-12T08:25:34.090Z,38.774334,-122.7436676,0.38,2.51,md,33,77,0.01042,0.06,nc,nc72998646,2018-04-12T10:13:03.258Z,"1km ESE of The Geysers, CA",earthquake,0.22,0.31,0.21,12,automatic,nc,nc
2018-04-12T08:21:07.740Z,19.4123325,-155.2801666,5.82,1.91,md,33,28,0.006471,0.29,hv,hv70078026,2018-04-12T08:26:54.170Z,"4km WSW of Volcano, Hawaii",earthquake,0.51,0.74,0.21,20,automatic,hv,hv
2018-04-12T08:19:37.630Z,46.9065,-122.0033333,9.61,0.51,ml,5,160,0.04257,0.08,uw,uw61362307,2018-04-12T19:00:45.800Z,"20km ENE of Eatonville, Washington",earthquake,0.84,1.62,0.181,5,reviewed,uw,uw
2018-04-12T08:16:48.570Z,19.421833,-155.2779999,8.1,1.82,md,32,53,0.002938,0.27,hv,hv70078021,2018-04-12T08:22:33.170Z,"4km WSW of Volcano, Hawaii",earthquake,0.51,0.58,0.15,17,automatic,hv,hv
2018-04-12T08:09:37.730Z,19.3980007,-155.2831726,6.77,1.82,ml,36,37,0.009369,0.32,hv,hv70078011,2018-04-12T08:15:13.930Z,"5km SW of Volcano, Hawaii",earthquake,0.65,0.49,0.21,13,automatic,hv,hv
2018-04-12T08:04:10.815Z,63.1294,-149.8435,86.2,2.8,ml,,,,0.6,ak,ak19232437,2018-04-12T08:31:05.040Z,"53km WSW of Cantwell, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-04-12T08:03:04.680Z,44.7595,-111.1256667,9.97,1.69,ml,19,66,0.03913,0.13,uu,uu60277652,2018-04-12T14:17:47.900Z,"10km N of West Yellowstone, Montana",earthquake,0.45,0.63,0.296,2,reviewed,uu,uu
2018-04-12T08:01:16.090Z,38.0138333,-118.9183333,2.3,1.53,md,12,308,0.319,0.07,nc,nc72998636,2018-04-12T19:36:02.625Z,"19km ENE of Lee Vining, CA",earthquake,2.12,7.29,0.111,10,reviewed,nc,nc
2018-04-12T08:01:00.990Z,19.4096661,-155.27034,10.57,1.78,md,25,42,0.01016,0.25,hv,hv70077996,2018-04-12T08:04:14.650Z,"4km SW of Volcano, Hawaii",earthquake,0.67,0.62,0.18,17,automatic,hv,hv
2018-04-12T07:57:18.680Z,19.3983326,-155.2781677,7.67,1.91,md,32,44,0.00519,0.17,hv,hv70077991,2018-04-12T08:00:45.660Z,"5km SW of Volcano, Hawaii",earthquake,0.4,0.4,0.25,19,automatic,hv,hv
2018-04-12T07:56:52.870Z,43.6623,139.5499,213.25,5.1,mww,,33,2.246,0.68,us,us2000dypk,2018-04-12T08:30:18.229Z,"109km NW of Iwanai, Japan",earthquake,7.1,6.4,0.071,19,reviewed,us,us
2018-04-12T07:53:33.940Z,19.4181671,-155.2766724,4.5,1.93,ml,44,39,0.006614,0.32,hv,hv70077986,2018-04-12T07:59:11.870Z,"4km WSW of Volcano, Hawaii",earthquake,0.53,0.43,0.26,17,automatic,hv,hv
2018-04-12T07:53:13.987Z,61.7483,-148.5315,15,0.4,ml,,,,0.41,ak,ak19232433,2018-04-12T16:26:33.942Z,"17km ESE of Sutton-Alpine, Alaska",earthquake,,0.9,,,reviewed,ak,ak
2018-04-12T07:47:26.880Z,33.0083333,-116.2288333,4.89,1.12,ml,38,80,0.1556,0.22,ci,ci38147904,2018-04-12T18:20:41.053Z,"18km SSW of Ocotillo Wells, CA",earthquake,0.26,1.54,0.085,20,reviewed,ci,ci
2018-04-12T07:47:05.590Z,19.4173336,-155.279007,9.33,1.8,md,27,50,0.004815,0.24,hv,hv70077976,2018-04-12T07:50:08.450Z,"4km WSW of Volcano, Hawaii",earthquake,0.58,0.64,0.14,14,automatic,hv,hv
2018-04-12T07:45:43.550Z,19.2973,-67.0891,10,3.11,md,9,257,0.8301,0.46,pr,pr2018102003,2018-04-12T13:42:01.989Z,"88km N of Isabela, Puerto Rico",earthquake,5.19,6.3,0.04,5,reviewed,pr,pr
2018-04-12T07:43:39.140Z,38.8321648,-122.8095016,2.24,0.88,md,11,57,0.008768,0.03,nc,nc72998631,2018-04-12T08:18:02.609Z,"8km W of Cobb, CA",earthquake,0.34,1.06,,1,automatic,nc,nc
